node idx,paper id
0,9657784
1,39886162
2,116214155
3,121432379
4,231147053
5,1196386999
6,1444859417
7,1483430697
8,1486601621
9,1495847259
10,1500126713
11,1512190626
12,1524631297
13,1525384803
14,1528301850
15,1537465387
16,1539916885
17,1542788159
18,1544145018
19,1546946208
20,1550373401
21,1551937652
22,1553895888
23,1555565700
24,1556595261
25,1561232457
26,1561890487
27,1566387761
28,1573599372
29,1578902217
30,1581827225
31,1585744708
32,1586330215
33,1591405962
34,1595098738
35,1596723206
36,1601434380
37,1606458877
38,1607460189
39,1615334113
40,1618900328
41,1623729836
42,1633846131
43,1634869392
44,1650363355
45,1657294604
46,1661863441
47,1665243225
48,1665669548
49,1667633038
50,1670829281
51,1681484497
52,1682705844
53,1698782162
54,1717093152
55,1720451657
56,1738519518
57,1740018295
58,1754384483
59,1769594948
60,1774345111
61,1777784767
62,1791983455
63,1798241237
64,1812070052
65,1814471488
66,1815334329
67,1816985167
68,1818292367
69,1818296812
70,1823940520
71,1824996543
72,1831933153
73,1838670769
74,1839164722
75,1844261290
76,1849650586
77,1852713323
78,1856665498
79,1859168105
80,1860769804
81,1867927193
82,1869518888
83,1871136127
84,1874862603
85,1890858171
86,1899741157
87,1903515055
88,1909770226
89,1912377242
90,1913310022
91,1913435380
92,1917184511
93,1921222141
94,1923785946
95,1924943363
96,1931766922
97,1952469305
98,1955298890
99,1955776637
100,1956364207
101,1962645729
102,1965341892
103,1970462373
104,1972193127
105,1972197965
106,1974252294
107,1974370252
108,1976930960
109,1977183758
110,1978451479
111,1978696990
112,1981029888
113,1983815018
114,1984398168
115,1985850551
116,1994203036
117,1994596572
118,2000628897
119,2001557365
120,2001699728
121,2001942931
122,2003612823
123,2005285092
124,2005612613
125,2008604527
126,2009318757
127,2010239981
128,2015969595
129,2023346713
130,2023669216
131,2026035956
132,2026334295
133,2029741572
134,2031384529
135,2033252913
136,2035417248
137,2037610944
138,2038872199
139,2039623973
140,2044357496
141,2045492734
142,2046629409
143,2046927882
144,2049223024
145,2052978498
146,2054156261
147,2056465590
148,2058503096
149,2061164145
150,2062637899
151,2065627966
152,2067340979
153,2067949855
154,2069293554
155,2074934005
156,2077286704
157,2079489844
158,2081483301
159,2083965535
160,2088010865
161,2088233081
162,2088442093
163,2094380852
164,2096400936
165,2096637116
166,2096639003
167,2096761913
168,2097759652
169,2099527426
170,2100725109
171,2104308413
172,2109463955
173,2111132618
174,2114297064
175,2115394571
176,2117327438
177,2118013417
178,2118203533
179,2121933323
180,2123936825
181,2125290027
182,2127724539
183,2128095813
184,2129139293
185,2130190443
186,2131830786
187,2132489970
188,2132690206
189,2136783219
190,2136787699
191,2136961259
192,2137586949
193,2137768004
194,2137817852
195,2138241565
196,2141581456
197,2146699143
198,2148698193
199,2149210625
200,2151152358
201,2152052626
202,2152297266
203,2152849372
204,2153982189
205,2155894515
206,2157527521
207,2160583936
208,2161621396
209,2162258888
210,2164383533
211,2165136719
212,2165228812
213,2165925342
214,2167761279
215,2168347639
216,2169137280
217,2172166764
218,2180882408
219,2184854395
220,2193438280
221,2196015344
222,2197635914
223,2204743480
224,2206436691
225,2217972116
226,2223375486
227,2223602738
228,2225420026
229,2227810799
230,2228910404
231,2231526355
232,2235247707
233,2240922584
234,2243067292
235,2247424319
236,2249293447
